TITLE;04072024 MDH SAXS
DATA TYPE;ULTRAVIOLET SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;24/10/28
TIME;15:57:32
SPECTROMETER/DATA SYSTEM;
LOCALE;1036
RESOLUTION;
DELTAX;-1
XUNITS;NANOMETERS
YUNITS;ABSORBANCE
FIRSTX;  800,0000
LASTX;  250,0000
NPOINTS;     551
FIRSTY;    -0,01516
MAXY;     0,63047
MINY;    -0,01814
XYDATA
470,0000;0,00464351
469,0000;0,00369274
468,0000;0,00283313
467,0000;0,00204632
466,0000;0,0013176
465,0000;0,000646931
464,0000;6,55653E-005
463,0000;-0,000433253
462,0000;-0,00083561
461,0000;-0,0011724
460,0000;-0,0014067
459,0000;-0,00162156
458,0000;-0,00171532
457,0000;-0,00175204
456,0000;-0,00168556
455,0000;-0,00151022
454,0000;-0,00121193
453,0000;-0,000795646
452,0000;-0,00023436
451,0000;0,000499419
450,0000;0,00144756
449,0000;0,00264962
448,0000;0,00412669
447,0000;0,00583388
446,0000;0,00790003
445,0000;0,0103238
444,0000;0,0132236
443,0000;0,0165175
442,0000;0,0202579
441,0000;0,0243553
440,0000;0,0288473
439,0000;0,0336236
438,0000;0,0387052
437,0000;0,0439538
436,0000;0,0492789
435,0000;0,0545891
434,0000;0,0597356
433,0000;0,0646268
432,0000;0,0691296
431,0000;0,0731668
430,0000;0,076706
429,0000;0,0797531
428,0000;0,0822798
427,0000;0,0842466
426,0000;0,0857597
425,0000;0,0868168
424,0000;0,0875685
423,0000;0,0879364
422,0000;0,0880023
421,0000;0,0877531
420,0000;0,0873369
419,0000;0,0867316
418,0000;0,0859464
417,0000;0,0850019
416,0000;0,083944
415,0000;0,0828299
414,0000;0,0816884
413,0000;0,0805139
412,0000;0,0792061
411,0000;0,0778261
410,0000;0,076323
409,0000;0,0747574
408,0000;0,073059
407,0000;0,0712958
406,0000;0,0694514
405,0000;0,0675243
404,0000;0,0654876
403,0000;0,0632742
402,0000;0,0609239
401,0000;0,0585648
400,0000;0,0552952
399,0000;0,0528146
398,0000;0,0502704
397,0000;0,0476519
396,0000;0,0451301
395,0000;0,0425671
394,0000;0,0400475
393,0000;0,0373501
392,0000;0,0347681
391,0000;0,0322724
390,0000;0,0300194
389,0000;0,0277675
388,0000;0,0254401
387,0000;0,0231646
386,0000;0,0207779
385,0000;0,0185952
384,0000;0,0164581
383,0000;0,0143512
382,0000;0,012359
381,0000;0,0103034
380,0000;0,00830981
379,0000;0,00640131
378,0000;0,00456174
377,0000;0,00284946
376,0000;0,00111446
375,0000;-0,000499564
374,0000;-0,00212645
373,0000;-0,00328785
372,0000;-0,00478126
371,0000;-0,00614257
370,0000;-0,00670842
369,0000;-0,00812928
368,0000;-0,00959427
367,0000;-0,0110902
366,0000;-0,0120753
365,0000;-0,0131007
364,0000;-0,0137137
363,0000;-0,0145435
362,0000;-0,0149626
361,0000;-0,0155458
360,0000;-0,0159033
359,0000;-0,0162543
358,0000;-0,0164015
357,0000;-0,0163323
356,0000;-0,0160343
355,0000;-0,0153255
354,0000;-0,0141944
353,0000;-0,012537
352,0000;-0,0107453
351,0000;-0,00867211
350,0000;-0,00601641
349,0000;-0,00274165
348,0000;0,00088077
347,0000;0,00500024
346,0000;0,00930648
345,0000;0,013175
344,0000;0,0169116
343,0000;0,0201286
342,0000;0,0229555
341,0000;0,024801
340,0000;0,0281878
339,0000;0,0287379
338,0000;0,0288787
337,0000;0,0294404
336,0000;0,0288088
335,0000;0,0283198
334,0000;0,0268687
333,0000;0,0260761
332,0000;0,0250923
331,0000;0,0245313
330,0000;0,0243824
329,0000;0,0240881
328,0000;0,0237136
327,0000;0,0230679
326,0000;0,0224183
325,0000;0,0219414
324,0000;0,021197
323,0000;0,0207026
322,0000;0,0199597
321,0000;0,0194696
320,0000;0,0187726
319,0000;0,0186809
318,0000;0,0184244
317,0000;0,0187149
316,0000;0,0189896
315,0000;0,0196076
314,0000;0,0205153
313,0000;0,0212754
312,0000;0,0220392
311,0000;0,023258
310,0000;0,0247575
309,0000;0,0257514
308,0000;0,0273035
307,0000;0,028812
306,0000;0,0312628
305,0000;0,0351897
304,0000;0,0404308
303,0000;0,0477754
302,0000;0,056637
301,0000;0,0684812
300,0000;0,0826057
299,0000;0,0995123
298,0000;0,119246
297,0000;0,142157
296,0000;0,170446
295,0000;0,206677
294,0000;0,253769
293,0000;0,311011
292,0000;0,370469
291,0000;0,415023
290,0000;0,433715
289,0000;0,434942
288,0000;0,440825
287,0000;0,465178
286,0000;0,506631
285,0000;0,553704
284,0000;0,592086
283,0000;0,613894
282,0000;0,622186
281,0000;0,624825
280,0000;0,626526
279,0000;0,628707
278,0000;0,62966
277,0000;0,630472
276,0000;0,630431
275,0000;0,628418
274,0000;0,623086
273,0000;0,61295
272,0000;0,601173
271,0000;0,588104
270,0000;0,575846
269,0000;0,561192
268,0000;0,544062
267,0000;0,524993
266,0000;0,504498
265,0000;0,482311
264,0000;0,458573
263,0000;0,435311
262,0000;0,413593
261,0000;0,394011
260,0000;0,375401
259,0000;0,355936
258,0000;0,335212
257,0000;0,315372
256,0000;0,297915
255,0000;0,284651
254,0000;0,27513
253,0000;0,268528
252,0000;0,264411
251,0000;0,263754
250,0000;0,268257

##### Extended Information
[Comments]
Sample name;04072024 MDH SAXS
Comment
User
Division
Company;IBS

[Detailed Information]
Creation date;28/10/2024 15:57

Data array type;Linear data array
Horizontal axis;Wavelength [nm]
Vertical axis;Abs
Start;800 nm
End;250 nm
Data interval;1 nm
Data points;551     

[Measurement Information]
Instrument name;UV/Vis JASCO
Model name;V-630
Serial No.;C307561148

Accessory;PAC-743
Accessory S/N;A006761220
  Position;1
  Temperature;25.37 C
  Control sensor;Holder
  Monitor sensor;Holder

Measurement date;28/10/2024 15:57

Photometric mode;Abs
Measurement range;800 - 250 nm
Data interval;1 nm
UV/Vis bandwidth;1.5 nm
Response;Medium
Scan speed;200 nm/min
Change source at;340 nm
Light source;D2/WI
Filter exchange;Step
Correction;Baseline

