Wavelength (nm),Absorbance
583,0.9865066787412271
584,0.9803788393328805
585,0.9742359067240209
586,0.9681080673156743
587,0.9619651347068146
588,0.9510225643347672
589,0.9393102407365482
590,0.9275979171383293
591,0.9159006867406233
592,0.9028903478982719
593,0.8885367142102483
594,0.874198173722738
595,0.8598596332352275
596,0.8455210927477173
597,0.833069202324353
598,0.8234850199984907
599,0.8139159308731416
600,0.8043317485472795
601,0.7947475662214173
602,0.785163383895555
603,0.7755792015696928
604,0.7659950192438307
605,0.7552637536789676
606,0.7427213040525245
607,0.7301788544260811
608,0.7176213115991246
609,0.7051392347747341
610,0.6960229416647801
611,0.6868915553543129
612,0.6777752622443589
613,0.6686438759338919
614,0.6595275828239379
615,0.6503961965134707
616,0.6412799034035167
617,0.6321485170930495
618,0.6233642743943854
619,0.6145800316957211
620,0.6057957889970569
621,0.5970266394989058
622,0.5882423968002415
623,0.5795638065051695
624,0.5713380122254924
625,0.5631273111463286
626,0.5549166100671648
627,0.5467059089880009
628,0.5384952079088371
629,0.53026941362916
630,0.5220587125499963
631,0.5138178250698061
632,0.5054561919855106
633,0.497094558901215
634,0.4887178326164063
635,0.4803561995321108
636,0.4719945664478153
637,0.46363293336351974
638,0.4565089427213041
639,0.45015470530526003
640,0.44380046788921595
641,0.4374462304731718
642,0.43109199305712775
643,0.4247377556410837
644,0.4183684250245265
645,0.4120141876084824
646,0.40565995019243833
647,0.39930571277639426
648,0.39295147536035024
649,0.3863557467360954
650,0.37966945890876164
651,0.3729680778809147
652,0.3662817900535809
653,0.3595955022262471
654,0.35289412119840013
655,0.34620783337106636
656,0.3395215455437326
657,0.33282016451588564
658,0.32737151913063167
659,0.32196815334691725
660,0.31656478756320283
661,0.3111463285789752
662,0.30574296279526075
663,0.30033959701154633
664,0.29493623122783186
665,0.28953286544411744
666,0.284129499660403
667,0.2790883706890046
668,0.27442457173043544
669,0.2697607727718663
670,0.2651120670138103
671,0.26044826805524113
672,0.25578446909667196
673,0.2511206701381028
674,0.2464568711795336
675,0.24180816542147762
676,0.23714436646290848
677,0.2324805675043393
678,0.2277865821447438
679,0.22310768998566147
680,0.21842879782657912
681,0.21373481246698364
682,0.2090559203079013
683,0.20437702814881897
684,0.19969813598973665
685,0.19500415063014115
686,0.19032525847105877
687,0.18564636631197645
688,0.18139008376726284
689,0.17784318164666818
690,0.17431137272658667
691,0.170764470605992
692,0.16721756848539734
693,0.16367066636480265
694,0.16013885744472117
695,0.15659195532412648
696,0.15304505320353182
697,0.14949815108293715
698,0.14596634216285564
699,0.14241944004226095
700,0.1388725379216663
701,0.13562749981133498
702,0.1323824617010037
703,0.1291374235906724
704,0.12587729227982794
705,0.12263225416949665
706,0.11938721605916536
707,0.11614217794883407
708,0.11289713983850276
709,0.10965210172817147
710,0.10640706361784016
711,0.10316202550750886
712,0.09990189419666441
713,0.09694362689608331
714,0.09415138480114708
715,0.09137423590672401
716,0.08858199381178779
717,0.08578975171685156
718,0.08299750962191532
719,0.0802052675269791
720,0.07742811863255604
721,0.07463587653761981
722,0.07184363444268357
723,0.06905139234774735
724,0.06625915025281111
725,0.06348200135838805
726,0.06103690287525469
727,0.058923854803411065
728,0.05681080673156743
729,0.054697758659723796
730,0.05258471058788017
731,0.050471662516036526
732,0.04835861444419289
733,0.04624556637234926
734,0.04413251830050562
735,0.04201947022866199
736,0.03990642215681836
737,0.03779337408497472
738,0.035680326013131085
739,0.03356727794128745
740,0.031756093879707195
741,0.030080748622745453
742,0.028405403365783715
743,0.026730058108821977
744,0.025069806052373408
745,0.02339446079541167
746,0.021719115538449928
747,0.02004377028148819
748,0.01836842502452645
749,0.016708172968077882
750,0.015032827711116144
751,0.014625311297260586
